N,IT,"F1(N,IT) GOA","F2(N,IT) GA",
2,2,43.064,45.455,
2,3,43.03,45.291,
2,4,42.146,45.099,
2,5,42.791,44.964,
2,6,42.692,44.911,
2,7,42.793,44.939,
2,8,42.447,44.863,
2,9,43.061,44.733,
2,10,42.316,44.877,
2,11,42.28,44.749,
2,12,42.989,45.064,
2,13,42.477,45.12,
2,14,42.314,44.984,
2,15,42.688,44.752,
2,16,42.406,44.684,
3,2,46.213,45.619,
3,3,45.395,45.76,
3,4,46.257,45.677,
3,5,46.269,45.761,
3,6,45.471,45.788,
3,7,45.574,45.888,
3,8,45.667,45.837,
3,9,45.775,46.007,
3,10,45.688,46.025,
3,11,45.832,46.105,
3,12,45.609,46.198,
3,13,45.767,46.252,
3,14,45.927,46.491,
3,15,45.885,46.175,
3,16,46.063,46.725,
4,2,48.058,45.97,
4,3,47.953,46.013,
4,4,47.963,46.065,
4,5,48.315,46.004,
4,6,48.398,46.196,
4,7,47.869,46.095,
4,8,48.14,46.103,
4,9,48.076,46.353,
4,10,47.781,46.325,
4,11,47.724,46.418,
4,12,48.072,46.442,
4,13,48.184,46.38,
4,14,48.045,46.469,
4,15,48.023,46.644,
4,16,47.931,46.636,
5,2,49.713,46.015,
5,3,49.512,46.021,
5,4,49.531,46.087,
5,5,49.936,46.135,
5,6,50.584,46.217,
5,7,50.222,46.245,
5,8,49.844,46.444,
5,9,49.437,46.534,
5,10,49.908,46.63,
5,11,49.728,46.576,
5,12,49.876,46.846,
5,13,50.126,46.884,
5,14,50.05,47.185,
5,15,49.758,47.074,
5,16,49.742,47.098,
6,2,50.586,46.069,
6,3,50.738,46.119,
6,4,51.103,46.18,
6,5,51.287,46.327,
6,6,50.796,46.471,
6,7,51.252,46.53,
6,8,50.734,46.539,
6,9,51.576,46.897,
6,10,51.192,46.861,
6,11,51.112,47.041,
6,12,51.296,47.239,
6,13,50.691,47.244,
6,14,51.242,47.494,
6,15,50.802,47.437,
6,16,51.247,47.263,
7,2,41.145,46.054,
7,3,41.536,46.12,
7,4,41.928,46.168,
7,5,42.457,46.231,
7,6,41.284,46.459,
7,7,41.482,46.627,
7,8,40.917,46.822,
7,9,41.288,46.795,
7,10,41.966,46.981,
7,11,41.933,47.074,
7,12,42.402,47.332,
7,13,42.392,47.374,
7,14,42.666,47.94,
7,15,41.902,47.635,
7,16,42.852,47.872,
8,2,42.037,46.129,
8,3,40.515,46.183,
8,4,42.782,46.255,
8,5,42.185,46.471,
8,6,42.965,46.603,
8,7,42.283,46.662,
8,8,41.692,46.864,
8,9,40.598,47.131,
8,10,42.69,47.425,
8,11,41.656,47.356,
8,12,41.389,47.299,
8,13,42.526,47.755,
8,14,42.035,48.019,
8,15,41.712,48.066,
8,16,41.577,48.349,
