N,IT,Count
2,2,474
2,3,475
2,4,449
2,5,463
2,6,478
2,7,516
2,8,493
2,9,494
2,10,496
2,11,470
2,12,499
2,13,503
2,14,485
2,15,516
2,16,509
3,2,604
3,3,635
3,4,593
3,5,586
3,6,579
3,7,605
3,8,602
3,9,604
3,10,589
3,11,589
3,12,600
3,13,553
3,14,585
3,15,586
3,16,591
4,2,704
4,3,711
4,4,721
4,5,702
4,6,712
4,7,680
4,8,698
4,9,694
4,10,714
4,11,706
4,12,670
4,13,677
4,14,700
4,15,691
4,16,671
5,2,808
5,3,791
5,4,772
5,5,778
5,6,783
5,7,752
5,8,779
5,9,772
5,10,758
5,11,755
5,12,788
5,13,777
5,14,743
5,15,760
5,16,745
6,2,836
6,3,833
6,4,850
6,5,850
6,6,840
6,7,799
6,8,819
6,9,833
6,10,814
6,11,814
6,12,832
6,13,783
6,14,796
6,15,801
6,16,772
7,2,691
7,3,692
7,4,711
7,5,716
7,6,726
7,7,716
7,8,705
7,9,687
7,10,696
7,11,693
7,12,690
7,13,692
7,14,696
7,15,683
7,16,655
8,2,732
8,3,748
8,4,738
8,5,729
8,6,718
8,7,705
8,8,718
8,9,737
8,10,692
8,11,697
8,12,698
8,13,692
8,14,671
8,15,677
8,16,689
