N,IT,Max,Min,Avg,Count,Median
2,3,24,-20,-2.868,476,-4.0
2,4,29,-24,-2.295,494,-4.0
2,5,29,-29,-2.634,485,-4.0
2,6,29,-29,-2.223,488,-4.0
2,7,29,-35,-2.29,470,-4.0
2,8,29,-35,-2.526,469,-4.0
2,9,29,-31,-2.253,488,-4.0
2,10,31,-31,-2.39,482,-4.0
2,11,35,-31,-2.275,466,-4.0
2,12,29,-35,-2.231,493,-4.0
2,13,35,-29,-2.2,511,0.0
2,14,31,-31,-2.182,480,-4.0
2,15,29,-35,-2.372,467,-4.0
2,16,29,-35,-2.17,495,-4.0
3,2,24,-20,0.246,606,0.0
3,3,24,-20,0.903,640,0.0
3,4,24,-24,-0.303,595,0.0
3,5,24,-29,0.103,615,0.0
3,6,24,-29,0.138,617,0.0
3,7,24,-31,0.379,608,0.0
3,8,24,-29,-0.083,587,0.0
3,9,29,-24,0.631,615,0.0
3,10,29,-31,-0.241,586,0.0
3,11,29,-29,-0.336,581,0.0
3,12,24,-35,-0.195,582,0.0
3,13,24,-29,-0.268,593,0.0
3,14,29,-35,-0.524,606,0.0
3,15,24,-29,-0.685,586,0.0
3,16,29,-31,-0.711,563,0.0
4,2,24,-16,1.946,694,0.0
4,3,19,-19,2.004,708,0.0
4,4,24,-29,1.902,709,0.0
4,5,15,-29,1.71,690,0.0
4,6,24,-29,2.209,714,0.0
4,7,19,-19,1.659,711,0.0
4,8,19,-19,1.864,694,0.0
4,9,15,-29,1.684,686,0.0
4,10,19,-29,1.724,701,0.0
4,11,24,-29,1.671,683,0.0
4,12,24,-29,1.411,665,0.0
4,13,24,-29,1.899,710,0.0
4,14,24,-29,1.454,696,0.0
4,15,29,-29,1.365,673,0.0
4,16,19,-29,1.364,672,0.0
5,2,15,-14,4.286,809,3.0
5,3,15,-14,3.706,777,3.0
5,4,15,-15,3.361,789,3.0
5,5,15,-19,3.347,765,3.0
5,6,15,-16,3.331,773,0.0
5,7,15,-24,3.439,782,0.0
5,8,19,-29,3.638,777,3.0
5,9,15,-29,3.66,780,3.0
5,10,15,-29,3.242,741,0.0
5,11,15,-29,2.951,754,0.0
5,12,15,-29,2.416,738,0.0
5,13,15,-29,2.521,772,0.0
5,14,15,-24,2.986,760,0.0
5,15,15,-24,2.402,745,0.0
5,16,24,-29,2.764,746,0.0
6,2,15,-14,4.833,835,3.0
6,3,15,-24,4.706,842,3.0
6,4,15,-14,4.913,841,3.0
6,5,15,-19,4.357,834,3.0
6,6,15,-24,4.304,835,3.0
6,7,17,-19,4.855,846,3.0
6,8,15,-24,4.881,840,3.0
6,9,15,-24,4.703,828,3.0
6,10,15,-24,4.397,826,3.0
6,11,15,-29,4.26,818,3.0
6,12,15,-29,4.067,818,3.0
6,13,15,-24,3.95,806,3.0
6,14,15,-29,3.716,818,3.0
6,15,15,-29,3.27,796,1.5
6,16,15,-29,3.548,788,3.0
7,2,15,-61,-5.436,698,3.0
7,3,15,-61,-4.047,719,3.0
7,4,15,-61,-3.812,714,3.0
7,5,15,-61,-4.597,715,3.0
7,6,15,-61,-4.295,705,3.0
7,7,19,-61,-4.989,700,0.0
7,8,15,-61,-4.06,696,0.0
7,9,15,-61,-4.487,709,0.0
7,10,15,-61,-4.617,694,0.0
7,11,19,-61,-4.943,701,0.0
7,12,15,-61,-6.196,677,0.0
7,13,15,-61,-5.811,663,0.0
7,14,15,-61,-5.854,691,0.0
7,15,15,-61,-6.603,660,0.0
7,16,15,-61,-6.32,651,0.0
8,2,15,-49,-3.847,735,3.0
8,3,15,-61,-4.483,725,3.0
8,4,15,-61,-3.448,748,3.0
8,5,15,-61,-3.928,728,3.0
8,6,15,-61,-4.579,718,3.0
8,7,15,-61,-3.997,722,3.0
8,8,15,-61,-4.566,716,3.0
8,9,15,-61,-4.896,709,3.0
8,10,15,-61,-5.356,701,0.0
8,11,15,-61,-5.548,712,0.0
8,12,15,-61,-5.614,695,0.0
8,13,15,-61,-5.331,698,0.0
8,14,15,-61,-5.232,691,0.0
8,15,15,-61,-4.723,706,0.0
8,16,15,-61,-6.946,667,0.0
