N,IT,Average GrassHopper Fitness,Average Genetic Fitness,Average Cheetah Fitness
4,2,41.681,32.144,43.605
4,3,41.453,34.492,44.296
4,4,42.14,36.925,45.153
4,5,41.631,37.867,45.669
4,6,41.084,40.111,46.692
4,7,41.848,41.612,46.535
5,2,43.139,34.133,45.276
5,3,43.391,36.532,46.124
5,4,44.269,38.726,47.225
5,5,44.157,41.741,47.385
5,6,43.919,42.677,48.369
5,7,43.491,44.649,49.715
6,2,45.438,34.206,47.347
6,3,45.598,37.305,48.032
6,4,45.367,39.9,48.493
6,5,45.292,42.632,49.192
6,6,44.8,44.005,49.078
6,7,44.63,45.942,50.551
7,2,41.509,34.384,48.992
7,3,40.582,37.718,49.894
7,4,41.901,41.692,49.717
7,5,41.321,43.003,50.26
7,6,42.381,45.104,51.386
7,7,41.243,47.316,51.413
8,2,41.26,36.149,49.436
8,3,43.435,39.454,50.737
8,4,42.651,42.089,50.833
8,5,43.848,44.461,50.948
8,6,42.766,46.83,52.08
8,7,43.765,48.638,52.389
