N,IT,Average GrassHopper Fitness,Average Genetic Fitness,Average Cheetah Fitness
4,2,196.921,196.936,197.489
4,3,197.027,197.431,197.475
4,4,197.107,197.868,197.719
4,5,196.934,198.144,197.211
4,6,197.447,198.367,197.574
4,7,196.519,198.627,197.827
4,8,197.465,198.768,197.967
4,9,197.546,198.884,198.191
4,10,197.773,199.068,197.825
4,11,197.155,199.184,198.166
4,12,197.062,199.364,197.734
5,2,198.551,199.996,198.647
5,3,198.663,199.996,198.805
5,4,198.403,199.988,198.804
5,5,198.631,199.992,198.48
5,6,198.111,200,198.689
5,7,198.555,199.996,199.153
5,8,198.943,199.996,199.097
5,9,198.465,200,199.025
5,10,198.391,200,198.773
5,11,198.566,200,199.345
5,12,198.963,200,199.321
6,2,199.165,200,199.341
6,3,199.159,199.996,199.211
6,4,199.22,200,199.336
6,5,199.289,200,199.266
6,6,199.253,200,199.523
6,7,199.206,200,199.534
6,8,199.089,200,199.425
6,9,199.226,200,199.598
6,10,199.141,200,199.353
6,11,199.253,200,199.351
6,12,199.29,200,199.706
7,2,176.713,200,199.607
7,3,178.845,199.996,199.529
7,4,175.822,200,199.406
7,5,176.822,200,199.695
7,6,177.866,200,199.627
7,7,175.842,200,199.785
7,8,179.7,200,199.742
7,9,183.504,200,199.734
7,10,184.198,200,199.8
7,11,182.899,200,199.773
7,12,179.064,200,199.812
8,2,112.399,200,199.722
8,3,91.828,200,199.706
8,4,85.977,200,199.725
8,5,94.564,200,199.791
8,6,105.768,200,199.843
8,7,98.427,200,199.858
8,8,108.596,200,199.829
8,9,103.497,200,199.888
8,10,116.007,200,199.854
8,11,116.98,200,199.89
8,12,105.624,200,199.911
